Date,AQS_SITE_ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,80013001,2,0.028,ppm,26,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/2/2016,80013001,2,0.028,ppm,26,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/5/2016,80013001,2,0.022,ppm,20,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/6/2016,80013001,2,0.009,ppm,8,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/7/2016,80013001,2,0.028,ppm,26,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/8/2016,80013001,2,0.033,ppm,31,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/9/2016,80013001,2,0.021,ppm,19,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/10/2016,80013001,2,0.025,ppm,23,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/11/2016,80013001,2,0.01,ppm,9,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/12/2016,80013001,2,0.018,ppm,17,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/13/2016,80013001,2,0.02,ppm,19,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/14/2016,80013001,2,0.042,ppm,39,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/15/2016,80013001,2,0.031,ppm,29,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/16/2016,80013001,2,0.038,ppm,35,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/17/2016,80013001,2,0.02,ppm,19,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/18/2016,80013001,2,0.019,ppm,18,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/19/2016,80013001,2,0.029,ppm,27,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/20/2016,80013001,2,0.037,ppm,34,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/21/2016,80013001,2,0.036,ppm,33,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/22/2016,80013001,2,0.018,ppm,17,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/23/2016,80013001,2,0.021,ppm,19,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/24/2016,80013001,2,0.034,ppm,31,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/25/2016,80013001,2,0.033,ppm,31,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
1/26/2016,80013001,2,0.031,ppm,29,17,100,44201,Ozone,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.838119,-104.94984
